real,winv,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
ey,ix,ix,iy,axr,r,d,ix,axr,epi,tcl,ix
dcl,z,tcl,hh,dh,sh,dh,z,tcl,z,z,dcl
d,t,y,t,ch,iy,aa,axr,s,k,epi,t
aa,s,t,p,ae,ao,aa,ch,s,z,iy,s
kcl,s,sh,s,dcl,s,s,s,bcl,n,s,pau
t,q,epi,q,q,eh,ix,w,en,axr,t,ix
axr,w,ix,eh,ih,w,ix,p,ax,w,tcl,n
w,ix,m,ae,l,ix,ix,z,epi,tcl,b,ax
ax,s,ng,m,s,nx,k,ih,iy,g,s,ax
z,g,g,z,g,tcl,s,s,z,m,dcl,dcl
ix,jh,eh,jh,tcl,t,s,t,d,en,jh,iy
n,tcl,m,tcl,tcl,tcl,s,axr,s,en,tcl,tcl
dh,tcl,iy,t,m,epi,d,z,axr,tcl,en,tcl
iy,tcl,dh,ih,iy,n,epi,z,tcl,t,tcl,ih
ae,s,z,t,z,s,s,pau,epi,d,s,z
m,tcl,f,sh,t,s,n,tcl,tcl,en,z,tcl
bcl,tcl,hv,k,dcl,tcl,epi,axr,z,en,ix,tcl
y,t,axr,t,iy,dh,epi,tcl,t,axr,s,jh
ix,m,ix,iy,axr,m,z,t,ow,k,n,en
l,z,ih,m,z,s,z,iy,s,s,z,pau
ax,d,dcl,d,t,en,en,d,t,tcl,pau,z
n,z,pau,tcl,tcl,epi,dcl,z,tcl,d,z,z
s,tcl,k,tcl,ng,tcl,epi,z,k,tcl,en,jh
epi,s,z,k,ch,z,s,s,tcl,tcl,jh,t
w,axr,ix,dh,axr,ih,iy,ih,ix,axr,ix,axr
ix,axr,w,ih,axr,ix,ix,axr,axr,axr,n,m
th,tcl,gcl,n,tcl,s,l,z,tcl,tcl,n,pau
ax,d,l,n,s,ax,d,ix,d,tcl,k,d
pcl,z,s,s,n,tcl,tcl,z,dcl,dcl,z,z
p,tcl,ch,hv,ch,tcl,z,tcl,t,k,epi,g
ey,en,axr,axr,t,ch,en,t,en,d,s,r
sh,s,n,s,s,s,z,dcl,z,tcl,z,s
en,tcl,tcl,tcl,t,pau,epi,d,en,z,tcl,s
tcl,z,tcl,epi,pau,z,tcl,d,en,z,dcl,z
q,t,ix,en,ix,t,t,en,m,axr,d,axr
ih,n,n,dcl,tcl,s,z,g,n,s,n,tcl
f,tcl,gcl,tcl,sh,s,tcl,d,ch,dcl,tcl,z
pcl,d,ch,t,z,tcl,s,s,en,tcl,d,d
p,tcl,t,ch,epi,z,en,tcl,t,tcl,tcl,axr
iy,axr,axr,t,epi,d,en,t,k,s,tcl,axr
pcl,s,tcl,n,tcl,dcl,tcl,s,epi,d,s,s
p,z,el,en,s,d,jh,z,epi,t,z,k
el,en,p,z,epi,d,en,t,pau,en,tcl,jh
w,tcl,n,dcl,tcl,s,en,dcl,z,tcl,t,tcl
er,d,t,en,epi,tcl,t,d,z,tcl,d,d
m,tcl,tcl,tcl,s,z,pau,s,t,z,tcl,z
ao,z,ch,jh,s,s,z,t,d,z,tcl,pau
r,axr,kcl,en,d,epi,tcl,axr,m,axr,d,t
dcl,s,kcl,dcl,z,s,s,tcl,z,s,tcl,epi
jh,t,k,dcl,jh,t,epi,z,en,t,z,k
eh,d,d,aw,jh,s,tcl,d,t,dcl,k,z
n,dcl,dcl,m,z,s,s,tcl,dcl,dcl,tcl,pau
er,t,dcl,dcl,d,pau,tcl,t,t,ch,jh,z
ix,z,z,z,s,z,tcl,tcl,z,en,epi,n
s,z,z,z,z,tcl,z,d,s,dcl,epi,z
dh,tcl,tcl,t,z,tcl,z,epi,dcl,en,s,jh
