"","phn","pc1","pc2","pc3","pc4","pc5","pc6","pc7","pc8","pc9","pc10","pc11","pc12","pc13","pc14","pc15","pc16","pc17","pc18","pc19","pc20","pfna"
"1","ey",-4.251407,-10.67106,-13.25301,-10.52374,2.913685,-3.52592,5.126295,-11.63963,3.80918,1.04833,3.879237,1.709551,3.045409,2.713373,5.477568,2.276435,2.956967,1.872535,-0.331087,0.8339222,"A"
"2","dcl",18.9314,2.73534,-4.485354,-5.615548,-5.911547,-8.411024,-9.303715,4.097244,-1.86703,10.97137,-4.298141,7.511173,10.24919,-9.797953,-4.482486,0.9429038,-1.161731,6.479358,-2.140033,-4.948926,"P"
"3","d",-3.522221,-18.18969,10.14685,-2.884448,-2.423511,-3.246809,6.42546,-11.9376,4.097041,-0.939358,-2.693898,-4.902575,3.948612,2.476318,-4.861429,2.061075,6.071651,1.184003,0.823342,0.6484525,"P"
"4","aa",-12.87589,-13.19555,8.262961,7.504602,-4.715894,-4.995529,6.828501,-9.676886,-1.624454,0.327825,3.889254,-4.952626,-0.3619479,-2.696768,-3.042333,3.246041,7.466697,1.159467,2.655067,-0.2367848,"A"
"5","kcl",15.0373,8.132022,-11.39236,3.218385,1.38734,-4.81308,2.699999,-8.455646,1.563162,-3.092562,5.288292,0.1920344,-2.715428,1.965788,4.91142,2.943608,-6.955228,-3.275783,3.551384,4.658015,"P"
"6","t",-2.256502,-5.45313,4.8773,-7.669622,6.422837,-2.145023,3.410587,6.009797,-0.684995,5.597216,0.1074262,-0.1109318,4.620477,6.225246,1.32989,-7.017483,-4.024644,-4.341012,2.19301,4.324375,"P"
"7","axr",-3.734675,-9.364479,-2.415493,4.45022,13.26939,-0.0002651835,7.720309,0.994045,2.495153,7.22436,4.048719,6.082311,-0.696187,0.6712431,3.717993,0.4419633,8.389104,2.858084,1.654842,1.74542,"A"
"8","w",-6.795855,6.806111,4.555537,8.013881,6.49451,7.859252,-4.304382,-2.029225,-1.504119,8.154396,2.34333,1.658803,5.103142,0.54322,-8.117738,-5.84255,-4.114164,3.749054,-0.5805766,-1.736749,"A"
"9","ax",-2.866392,-2.730442,-10.53268,-8.926626,-3.700611,6.67287,0.00566717,-4.721841,6.776152,1.963247,11.68882,0.2051048,-0.3296522,4.919406,4.543363,-3.058009,1.289685,0.3745829,-1.358944,2.156852,"A"
"10","z",3.682725,13.84422,7.063634,2.554849,-0.8903771,-0.4670912,0.9040139,7.604439,3.121288,6.966156,-3.002273,-2.886612,6.786772,5.472319,1.805089,0.1853731,-4.699999,0.917339,-1.527411,3.776786,"F"
"11","ix",-11.31188,-0.5335382,-1.327743,-7.771146,6.488507,2.724688,9.277186,-1.764317,-2.598891,1.222224,3.603736,2.588026,-0.5480537,2.601841,2.459838,0.5956386,4.313158,2.221022,-0.3838541,1.889443,"A"
"12","n",6.973844,3.845644,-2.570639,4.820642,9.965493,4.308206,2.010384,4.20754,3.687245,4.517312,3.63371,0.6149527,1.913345,-2.767042,-7.951913,-3.152323,3.037897,-0.389011,2.872278,-1.462314,"N"
"13","dh",1.556215,-4.086103,-0.2324749,-2.755625,1.689284,10.27815,-2.179921,-0.8107473,-0.5813739,7.882011,6.035245,-0.6098088,2.912723,-0.6771815,1.419296,-1.805725,-3.536987,1.001096,0.3835891,2.295432,"F"
"14","iy",2.056199,-4.11957,-5.475802,-2.230111,-3.866576,7.93887,-3.660722,-0.6980302,-2.935544,9.910458,3.963431,0.6795349,5.889969,0.3393186,-0.3425804,0.2391257,-5.490891,0.9978757,-0.4842942,2.09004,"A"
"15","ae",-12.23264,7.078036,1.751113,2.047583,-5.276386,-2.01075,0.6507546,3.106801,4.191215,0.6095107,3.838187,-4.156405,4.258462,1.755899,-1.682325,1.77753,1.675241,3.649391,-1.516936,-5.191668,"A"
"16","m",10.26325,-1.069458,-1.817771,4.973869,14.46299,-1.270785,2.40085,2.226922,-1.582455,-0.04993657,-1.05538,-0.4404803,-5.135882,-3.364987,-3.7704,5.897841,-4.820205,-2.004888,4.131068,-0.1801285,"N"
"17","bcl",6.452295,-0.05296028,5.306672,-5.317052,3.965382,6.001859,-6.414211,-8.225329,-2.695444,4.429157,-0.2223145,-0.8405903,-4.112819,-2.248052,3.710215,-1.923583,1.866498,2.119746,-2.480236,-4.592923,"P"
"18","y",1.539694,-5.42197,0.08789206,-6.924502,-2.576665,7.352136,-7.318635,-6.562338,0.1717129,4.678212,2.624273,-0.3591974,-4.759113,-4.528132,2.345393,-0.2540177,-0.1817105,1.980466,-6.448341,-2.283355,"A"
"19","ix",-2.491448,-8.354253,-5.132678,0.7897746,-7.711114,6.429207,-5.91466,-1.85141,6.191004,3.758928,2.659168,-2.106273,1.165004,-5.215102,-2.856734,0.7375249,-4.47723,-5.849781,-4.228637,-2.512459,"A"
"20","l",-6.443963,-2.176164,-3.575413,7.982233,-8.458169,5.351844,-3.952917,3.093943,6.075212,3.41902,-1.42867,-3.90803,5.226404,0.07765354,1.902397,5.64514,0.2411728,-4.712424,-1.079778,-1.038309,"A"
"21","ax",-11.18733,3.372522,-1.79597,-2.584745,2.328762,-2.993797,-0.1969739,0.3522882,1.468351,-2.374091,-2.15022,-3.537143,0.8293038,-1.015236,2.83976,5.008148,-2.03586,-0.7211052,3.014609,2.59284,"A"
"22","n",0.4372024,12.06649,-3.057967,-0.5321703,-0.9507828,0.8820184,4.142475,-2.942509,-3.915441,-0.4202044,-2.400067,-1.852318,-0.1233603,-2.782354,0.7243483,2.484382,-0.2949827,0.4705392,-0.1421575,0.4820075,"N"
"23","s",12.77218,-1.857557,-0.657866,-8.579845,7.465842,1.263325,0.6280545,6.239461,6.151215,-0.03737367,3.084163,0.442332,-4.34426,0.8245236,-0.5008122,-1.212429,4.651851,-1.797794,1.166533,0.4936604,"F"
"24","epi",2.051637,5.825341,13.87602,5.446749,3.707907,0.2372472,-4.159841,-1.457565,-5.143649,4.969664,1.287414,-3.595236,1.072973,4.086743,-1.701484,-0.2206081,-2.180967,-2.595021,0.2483614,2.992003,"X"
"25","w",-19.66199,1.660163,-6.147206,-9.034271,-3.996918,10.92678,2.680281,-3.256344,-0.5839101,0.8440792,0.1776697,2.985927,-0.9254096,-4.727423,2.679879,2.070098,-1.004733,3.360794,-0.8633135,1.86986,"A"
"26","ix",-18.56918,0.04319976,-10.87082,-7.324549,-4.956819,11.49918,1.494243,-0.4276922,-3.218567,1.344653,1.290444,3.099052,-1.913828,-4.241428,0.9131163,1.931672,-3.444095,2.609193,-0.5008959,1.134648,"A"
"27","th",-0.9862338,-1.18301,-18.05193,5.462657,-2.366506,3.58752,-4.91171,5.26944,5.358029,1.896173,2.639072,0.4591118,1.559082,6.604659,-6.063687,-1.040286,-3.584381,-2.442347,-0.2534149,-4.400853,"F"
